SUCCESSOK﻿交易时间,公众账号ID,商户号,子商户号,设备号,微信订单号,商户订单号,用户标识,交易类型,交易状态,付款银行,货币种类,总金额,企业红包金额,微信退款单号,商户退款单号,退款金额,企业红包退款金额,退款类型,退款状态,商品名称,商户数据包,手续费,费率
`2018-05-08 18:21:50,`wx3fb8f4754008e524,`1503376371,`0,`,`4200000109201805084928170748,`150337637120180508182144,`oK2HF1Sy1qdRQyqg69pPN5-rirrg,`JSAPI,`SUCCESS,`CFT,`CNY,`0.10,`0.00,`0,`0,`0.00,`0.00,`,`,`test,`test,`0.00000,`0.60%
`2018-05-08 18:20:29,`wx3fb8f4754008e524,`1503376371,`0,`,`4200000118201805085267130704,`150337637120180508182023,`oK2HF1Sy1qdRQyqg69pPN5-rirrg,`JSAPI,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`test,`test,`0.00000,`0.60%
`2018-05-08 14:35:04,`wx3fb8f4754008e524,`1503376371,`0,`,`4200000119201805085134110253,`150337637120180508143454,`oK2HF1Sy1qdRQyqg69pPN5-rirrg,`NATIVE,`SUCCESS,`CFT,`CNY,`0.10,`0.00,`0,`0,`0.00,`0.00,`,`,`test1231,`test,`0.00000,`0.60%
`2018-05-08 14:46:32,`wx3fb8f4754008e524,`1503376371,`0,`,`4200000119201805085134110253,`150337637120180508143454,`oK2HF1Sy1qdRQyqg69pPN5-rirrg,`NATIVE,`REFUND,`CFT,`CNY,`0.00,`0.00,`50000506572018050804454209491,`150337637120180508144631,`0.05,`0.00,`ORIGINAL,`SUCCESS,`test1231,`test,`0.00000,`0.60%
`2018-05-08 14:41:08,`wx3fb8f4754008e524,`1503376371,`0,`,`4200000137201805085372112235,`150337637120180508142510,`oK2HF1Sy1qdRQyqg69pPN5-rirrg,`NATIVE,`REFUND,`CFT,`CNY,`0.00,`0.00,`50000306632018050804503014436,`1003022622018050853721122351525761650,`0.01,`0.00,`ORIGINAL,`SUCCESS,`test1231,`test,`0.00000,`0.60%
`2018-05-08 14:25:31,`wx3fb8f4754008e524,`1503376371,`0,`,`4200000137201805085372112235,`150337637120180508142510,`oK2HF1Sy1qdRQyqg69pPN5-rirrg,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`test1231,`test,`0.00000,`0.60%
`2018-05-08 18:22:32,`wx3fb8f4754008e524,`1503376371,`0,`,`4200000137201805085563986988,`150337637120180508182225,`oK2HF1Sy1qdRQyqg69pPN5-rirrg,`JSAPI,`SUCCESS,`CFT,`CNY,`0.10,`0.00,`0,`0,`0.00,`0.00,`,`,`test,`test,`0.00000,`0.60%
总交易单数,总交易额,总退款金额,总企业红包退款金额,手续费总金额
`7,`0.32,`0.06,`0.00,`0.00000
